#Id	Organism	TaxonID	Full Taxonomy	Banfield_tree_name	CDS_GC	CDS_GC_nostartstop	Ribo_prot_GC_nostartstop	CDS_number	Intragenic_GC	Gene_density	Coding_density	Genome_length	Intragenic_length	CDS_length	tRNA_number	All_NC_wright	All_NC_novembre	All_NC_info	Ribo_NC_wright	Ribo_NC_novembre	Ribo_NC_info	Ribo_prot_number	Information_content_all(-20_-4)	Information_content_ribo(-20_-4)	Information_content_all_mean_random(-20_-4)	Information_content_ribo_mean_random(-20_-4)	Mean_binding_all	Mean_binding_ribo	Mean_binding_all_mean_random	Mean_binding_ribo_mean_random	Location_of_best_binding_all	Location_of_best_binding_ribo	ATG_start_percent	16s_copies	23s_copies	CDS_with_SD_utr_motif	Expected_CDS_with_SD_utr_motif	CDS_with_SD_utr_binding	Expected_CDS_with_SD_utr_binding	RP_information_percentile	RP_information_zscore	aSD_binding_score_ribosome	aSD_binding_score_all	Internal_SD_seqs	Mean_folding_init	Mean_folding_internal	Mean_folding_diff	Mean_folding_init_ribo	Mean_folding_internal_ribo	Mean_folding_diff_ribo
GCA_000465255	Haemophilus influenzae KR494	1334187	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus.	Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Haemophilus_influenzae_KR494	0.386849978231593	0.3879768961848305	0.41714687280393536	1646.0	0.30553560479985986	0.899837084414409	0.848883942039979	1856176.0	185920.0	1575678.0	57.0	44.245424043548994	48.57369382702036	57.17690537736045	35.55012924522232	37.17393554227142	49.43081434050432	55.0	4.088847986991916	5.630737930246926	2.1943965355941595	2.6480114322281	-4.199617253948965	-5.8545454545454545	-0.951918736330496	-1.3287749090909091	17.0	16.0	0.9404617253948967	6.0	6.0	1071.0	237.882	883.0	140.222	95.44	1.730341498928904	1.3945408411354132	2.0519426761948583	34.0	-5.1567562614538796	-9.197684789248626	4.040928527794747	-6.947169811320753	-10.475471698113209	3.528301886792453
GCA_000010245	Escherichia coli str. K-12 substr. W3110	316407	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_coli_K12__W3110	0.5186760556842027	0.5205026721327203	0.5170560352124598	4410.0	0.4150426924127448	0.889760998568333	0.8716204524343073	4646332.0	512207.0	4049838.0	85.0	48.63210529526323	49.04630268353645	57.03915905219497	37.41628092862228	37.209552652848195	49.208742748742324	58.0	1.8034023393195782	4.3382707723637575	0.36638133517246113	1.4053163499382009	-4.6657619047618875	-5.896206896551724	-1.5195603356009177	-1.7042413793103448	17.0	17.0	0.8929705215419501	7.0	7.0	3039.0	1000.248	2800.0	789.746	100.0	5.656909253683296	1.5957926756330139	2.478732868671316	212.0	-8.588266946191474	-13.619834614488703	5.031567668297227	-8.409090909090908	-13.398181818181818	4.989090909090908
GCA_000009605	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	107806	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Buchnera_Buchnera_aphidicola_str._APS_Acyrthosiphon_pisum	0.27407247898217185	0.27444342737880517	0.3143208475217556	564.0	0.1495585716168138	0.8888869811965705	0.8698010398310547	640681.0	71188.0	557265.0	31.0	37.189415545699205	51.98890229216009	59.95530735192113	36.4868508829486	46.223569285370964	57.83846013604039	54.0	5.2698673214731	5.918110672125465	5.075512126224636	5.011659252290642	-2.8936702127659584	-4.287037037037036	-0.6331081914893605	-0.9547044444444446	17.0	16.0	0.900709219858156	1.0	1.0	277.0	49.828	180.0	24.178	54.47	0.08822380910037339	2.1232396897023214	2.282065540736487	108.0	-4.217758007117438	-5.80644128113879	1.5886832740213521	-4.555769230769231	-5.668653846153846	1.1128846153846153
GCA_000091085	Chlamydophila pneumoniae AR39	115711	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	Bacteria_Chlamydiae_Verrucomicrobia_group_Chlamydiae_Chlamydiia_Chlamydiales_Chlamydiaceae_ChlamydiaChlamydophila_group_Chlamydophila_pneumoniae_AR39	0.4129707173858473	0.41388379232877465	0.3938996836873023	1118.0	0.3244538706256628	0.9092625072404477	0.890768277320285	1234385.0	112005.0	1099551.0	37.0	51.75628915863021	55.799022639031165	59.816452269377976	45.60415103110101	49.44823247082687	59.08931206569261	53.0	1.708669075811583	5.144202838831962	1.3895779952519975	3.0411123770908244	-2.6451208594449427	-4.559245283018868	-1.0763638137869274	-1.648702641509434	18.0	17.0	0.7835420393559929	1.0	1.0	478.0	179.016	356.0	118.202	100.0	7.863932111113627	2.6318548109996507	3.0166294562584017	342.0	-6.577822177822178	-9.221588411588412	2.6437662337662338	-5.4479999999999995	-9.27	3.822000000000001
GCA_000348585	Xanthomonas axonopodis Xac29-1	1304892	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Xanthomonas_axonopodis_Xac29_1	0.6530299964014209	0.6550401778242754	0.6206362227691186	4136.0	0.616565724883124	0.8560030115718484	0.8082990925505317	5153455.0	742082.0	4165533.0	53.0	36.47112889917515	45.2832775380408	55.792245500330864	32.943033888057606	39.14763082818423	51.4469209963773	55.0	1.0427451051306433	2.933209087946965	0.752435945665881	0.9857033714471952	-3.681694874274661	-5.417222222222223	-1.7031522920696442	-1.7757625925925926	17.0	16.0	0.8665377176015474	2.0	2.0	2047.0	726.628	1914.0	870.966	100.0	4.610193904938296	2.0995015092627094	2.6519602511406757	345.0	-13.327625304136253	-20.246496350364964	6.91887104622871	-10.148076923076925	-17.501923076923077	7.353846153846154
GCA_000007325	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	Bacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium.	Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_nucleatum_nucleatum_ATCC_25586	0.27416479977305247	0.27445918248478535	0.3185982960938756	1983.0	0.2220966997540831	0.8999576914233157	0.8818689353874454	2174500.0	217542.0	1917624.0	46.0	32.74556665132922	49.724005234888836	59.79188724044743	32.16542306956515	43.22751040348818	56.33268978642623	50.0	5.345541875965145	6.5690942597230535	4.7034503380654185	4.9066858611790325	-4.792719475277507	-8.255200000000002	-1.2296538143289626	-1.6737032	17.0	15.0	0.7781139687342411	5.0	5.0	1366.0	446.484	1302.0	271.356	81.58	0.8963031968488508	2.720425960586537	2.7906426435636864	438.0	-4.23824516785351	-6.14291963377416	1.9046744659206511	-4.741666666666667	-6.952083333333334	2.2104166666666667
GCA_000011785	Haemophilus somnus 129PT	205914	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Histophilus.	Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Histophilus_somni_129P	0.3777797953807931	0.37873004110261865	0.4112566438876234	1748.0	0.3091662767575155	0.8948084873238034	0.8722682671713902	2007700.0	211193.0	1751253.0	48.0	45.41863987635389	51.33370752737308	58.80763200419917	38.02609322327952	40.95556723115119	52.48698421974257	54.0	4.1159092082352196	6.028181940494039	2.4714431296247463	2.813614913868593	-4.241717229536336	-5.887222222222222	-0.9963735546651382	-1.3880911111111114	17.0	16.0	0.9307780320366132	5.0	5.0	1190.0	271.53	989.0	160.442	99.3	2.5420353919340535	1.616997334610441	2.464921967526647	139.0	-4.9498452722063035	-8.67934670487106	3.729501432664757	-7.578846153846154	-10.561538461538463	2.982692307692307
GCA_000359505	Pseudomonas aeruginosa B136-33	1280938	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_aeruginosa_B136_33	0.6717979333773793	0.6739057114110575	0.59890560875513	5771.0	0.5873198809448309	0.8936685973079002	0.8804199027878792	6421010.0	682755.0	5653185.0	62.0	32.21720476318799	43.387560820190714	56.04571067148435	32.75026845129662	37.46753860539158	49.974049227141286	56.0	1.814701703933101	2.8038361776149943	0.707016201992549	0.8294362675801947	-5.103304453300992	-6.132500000000001	-1.8194859261826477	-1.955292142857143	17.0	16.0	0.9017501299601456	4.0	4.0	4195.0	1264.184	4041.0	1359.492	85.92	1.0886443712839335	1.869693423683838	3.144858051384187	1484.0	-12.39259304347826	-20.236260869565218	7.843667826086956	-10.74074074074074	-16.08703703703704	5.346296296296296
GCA_000011945	Anaplasma marginale str. St. Maries	234826	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Anaplasma.	Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_Anaplasmataceae_Anaplasma_marginale_St._Maries	0.4978012682452741	0.49877023629964806	0.5066723251756495	937.0	0.49687648587724087	0.8624431925870448	0.8350445483669774	1197687.0	164750.0	1000122.0	36.0	57.65058171650004	57.9706120369455	60.08351993479189	52.64020078212579	53.46323910559479	58.053984769610196	50.0	1.2425666486193208	6.069443257386669	0.6709711056502938	3.3840873653883956	-3.3106296691568917	-5.386200000000001	-1.9171902241195304	-2.4346248	18.0	17.0	0.7171824973319103	1.0	1.0	311.0	200.086	371.0	231.718	100.0	11.803892741659887	3.605418533048076	3.629079134605333	434.0	-10.946096256684491	-13.011625668449197	2.065529411764706	-8.745833333333332	-13.558333333333332	4.8125
GCA_000025985	Bacteroides fragilis NCTC 9343	272559	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_fragilis_NCTC_9343	0.4427036790320862	0.44383633731827166	0.4118999323867478	4122.0	0.3504017336481346	0.8935947928393857	0.8816610119996773	5205140.0	553854.0	4589169.0	72.0	54.903152698382	54.35080641880955	59.27327268778247	43.04810032499763	43.14294057840583	54.22229512432251	52.0	4.025116575707742	7.158668353940367	2.7471876342934944	5.8810047163264265	-0.9016011644832701	-1.651538461538462	-0.7264593740902546	-0.6957276923076924	18.0	17.0	0.9645803008248424	6.0	6.0	469.0	445.486	293.0	243.1	100.0	4.753189975706063	2.0441124129512684	3.226038112677341	1364.0	-4.309247937894226	-10.742154294032023	6.4329063561377975	-3.425	-10.303846153846155	6.878846153846155
GCA_000014085	Burkholderia cenocepacia AU 1054	331271	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia_cenocepacia_AU_1054	0.6765902001493862	0.6788505515962955	0.6080259424402108	6262.0	0.6714325245383573	0.864797044036666	0.8412733084621814	7279116.0	984158.0	6123726.0	66.0	33.09881845872728	43.78550170805994	55.851808377167686	32.17937128116102	37.367674653682634	50.36266589542484	55.0	1.2090166244377585	3.2232912623185412	0.6255308351002075	0.9202374834145917	-4.2764015333013905	-5.877636363636363	-1.7046302986743453	-1.801802181818182	17.0	17.0	0.9065793676141808	6.0	6.0	3744.0	1275.7	3572.0	1346.46	99.99	4.560330560399037	1.7912048205594906	2.4956568183423333	625.0	-11.816961458499922	-21.51795937949784	9.70099792099792	-10.657407407407407	-16.92222222222222	6.264814814814815
GCA_000632905	Ehrlichia chaffeensis str. Osceola	1249654	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Ehrlichia.	Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_Anaplasmataceae_Ehrlichia_chaffeensis_Osceola	0.3154898085087833	0.31594471253381645	0.33043044405134486	880.0	0.29896364686037236	0.7819667681248336	0.7710188164197151	1175197.0	256232.0	906099.0	36.0	40.56320359976657	54.71613200728571	60.37129402680252	38.80764733275235	50.53463805899319	58.16586644775534	52.0	3.822885196564746	6.159913678847567	3.532290686966455	4.690192701386544	-2.3122184300341306	-4.4799999999999995	-0.8716600227531255	-1.3726023076923077	17.0	17.0	0.9	1.0	1.0	251.0	106.224	175.0	64.56	99.99	4.16312225570423	2.497146086277449	2.5008031176126564	181.0	-5.095774487471527	-7.00749430523918	1.9117198177676535	-5.62627450980392	-7.923529411764706	2.2972549019607844
GCA_000012805	Nitrosococcus oceani ATCC 19707	323261	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Nitrosococcus.	Bacteria_Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Nitrosococcus_oceani_C_107_ATCC_19707	0.512511631762152	0.5140372577682821	0.49575705568268497	3103.0	0.4434640044135386	0.8716554685639822	0.8559022038429027	3481691.0	446856.0	2979987.0	43.0	55.269404836281495	55.46528581693451	59.39322486178512	55.557066134454985	54.467921172363575	59.22833004796195	50.0	1.0371252022266688	3.2593171973586053	0.40226816066461685	1.657231193944285	-3.4166935223976855	-5.1491999999999996	-1.4584281405091928	-1.8954116000000003	16.0	16.0	0.8501450209474702	2.0	2.0	1647.0	666.352	1520.0	538.224	100.0	4.6796698890438355	3.49587350305538	3.5139068434300786	1051.0	-8.871888495004834	-13.240815339993555	4.36892684498872	-7.462	-12.733999999999998	5.272
GCA_000009125	Ralstonia solanacearum GMI1000	267608	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia.	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Ralstonia_solanacearum_GMI1000	0.6780803073792564	0.6803750200653853	0.6192717707323827	3316.0	0.6111750918357475	0.8768662148151994	0.8518593062719348	3716413.0	457616.0	3165861.0	56.0	32.678553132315955	43.95559642896144	56.35396861561395	32.625273178695494	38.73574250323134	50.510866093018066	52.0	1.0738334606840136	3.199912560464332	0.7474384299010554	0.9470494234978242	-3.9289053075995173	-5.7182692307692315	-1.6599957418576692	-1.8563457692307692	17.0	17.0	0.9071170084439083	4.0	4.0	1708.0	618.564	1696.0	681.272	100.0	4.832386917440712	1.9684025400955487	2.976961311699464	597.0	-12.305336756266989	-21.04599818785865	8.740661431591665	-10.228846153846153	-17.646153846153844	7.417307692307692
GCA_000013745	Rhodopseudomonas palustris BisB18	316056	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas.	Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Rhodopseudomonas_palustris_BisB18	0.6554517549166198	0.6575748874867369	0.6370873026229936	4849.0	0.6145555096050146	0.8498220116492233	0.8409329317260336	5513844.0	828058.0	4636773.0	46.0	36.54712069315605	45.98134018643132	56.87042478244088	33.617387085502074	41.16576399725254	54.00409956815051	53.0	1.1889431661913388	3.297553622712191	0.6082395108715337	1.2206518129568384	-4.277576819962875	-5.567547169811323	-2.0421458321303447	-2.093671320754717	17.0	16.0	0.856052794390596	2.0	2.0	2770.0	1205.128	2714.0	1360.148	100.0	4.963560661211014	2.2343244141296643	2.887352787905034	872.0	-13.742299752270853	-20.33087118084228	6.588571428571428	-11.953846153846152	-17.967307692307692	6.01346153846154
GCA_000063605	Mycoplasma agalactiae PG2	347257	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Bacteria_Tenericutes_Mollicutes_Mycoplasmatales_Mycoplasmataceae_Mycoplasma_agalactiae	0.30244374166159577	0.30298184973523085	0.33779851495083285	666.0	0.2945704440329926	0.905184183953738	0.7978615013254498	877438.0	83195.0	700074.0	33.0	38.45316105338311	50.955816673547716	58.79988893877332	34.8896303504281	41.634415381659025	53.795055215500575	49.0	4.362161013226316	6.594759477349902	3.7305748860625925	4.208234129038981	-4.002000000000002	-5.571020408163265	-0.9869419849624035	-1.2247595918367347	18.0	16.0	0.93993993993994	2.0	2.0	433.0	110.378	369.0	62.73	99.89	3.282786551759047	1.4835529558429887	1.6684701171887077	26.0	-4.699834337349397	-6.934834337349397	2.235	-5.074999999999999	-8.025	2.9499999999999997
GCA_000238175	Brucella abortus A13334	1104320	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Brucellaceae_Brucella_abortus_A13334	0.5835772415189028	0.5854833220672522	0.5884427448480986	3095.0	0.4925271626441072	0.8687139991333012	0.8524746563636629	3286032.0	431410.0	2801259.0	54.0	43.722935040990116	47.66590639566449	56.80728167734842	36.43791060546238	39.940870176741974	50.96161868517042	54.0	1.3151529981668433	4.567752236017057	0.24238414078390288	1.8627412407535704	-4.452810985460392	-5.544629629629629	-1.9304149725363553	-2.2161262962962964	17.0	16.0	0.8704361873990307	3.0	3.0	2073.0	876.554	1893.0	805.106	100.0	8.369638013508576	1.7856798023155551	2.8334034161952464	439.0	-11.011278538812785	-16.57348336594912	5.562204827136333	-10.141509433962264	-16.98679245283019	6.8452830188679235
